SLUG,BANDCAMP EMBED URL,BANDCAMP EMBED HEIGHT
26bats,https://bandcamp.com/EmbeddedPlayer/album=411459191/size=small/bgcol=ffffff/linkcol=0687f5/tracklist=false/artwork=none/transparent=true/,40
yellow-ostrich,https://bandcamp.com/EmbeddedPlayer/album=2456546696/size=small/bgcol=ffffff/linkcol=0687f5/tracklist=false/artwork=none/transparent=true/,40
